answer,description,object,options,raw,type,formatted_options,transformed_sent
 , , , ,No one recognized him., , ,No one recognized him.
led,Выберите слово,led,"['followed', 'leading', 'led']",The father took him for a distinguished colonel and led him into the room where his daughters were sitting.,select_word,"<select class=""form-select"" id=""s98"" onchange=""myFunction('led', 's98', 'p98')""><option selected>–––</option><option value=""followed"">followed</option><option value=""leading"">leading</option><option value=""led"">led</option></select>","The father took him for a distinguished colonel and <select class=""form-select"" id=""s98"" onchange=""myFunction('led', 's98', 'p98')""><option selected>–––</option><option value=""followed"">followed</option><option value=""leading"">leading</option><option value=""led"">led</option></select> him into the room where his daughters were sitting."
He was given a seat between the two oldest ones.,Какое предложение верно?,He was given a seat between the two oldest ones.,"['He was given a seat between the two oldest ones.', 'He was although a front between the two century they.', 'He was because a seats between the two extant worse.']",He was given a seat between the two oldest ones.,select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-0"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-0"", ""p99"")'
                                     value=""He was given a seat between the two oldest ones."">
                                   <label class=""form-check-label"" for=""r99-0"">He was given a seat between the two oldest ones.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-1"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-1"", ""p99"")'
                                     value=""He was although a front between the two century they."">
                                   <label class=""form-check-label"" for=""r99-1"">He was although a front between the two century they.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-2"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-2"", ""p99"")'
                                     value=""He was because a seats between the two extant worse."">
                                   <label class=""form-check-label"" for=""r99-2"">He was because a seats between the two extant worse.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-0"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-0"", ""p99"")'
                                     value=""He was given a seat between the two oldest ones."">
                                   <label class=""form-check-label"" for=""r99-0"">He was given a seat between the two oldest ones.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-1"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-1"", ""p99"")'
                                     value=""He was although a front between the two century they."">
                                   <label class=""form-check-label"" for=""r99-1"">He was although a front between the two century they.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r99-2"" name=""rname99"" 
                                     onchange='myFunction(""He was given a seat between the two oldest ones."", ""r99-2"", ""p99"")'
                                     value=""He was because a seats between the two extant worse."">
                                   <label class=""form-check-label"" for=""r99-2"">He was because a seats between the two extant worse.
                                   </label></div>"
finest,Заполните пропуск,finest,[],"They poured wine for him, served him the finest things to eat, and thought that they had never seen a more handsome man in all the world.",missing_word,"<input class=""form-control"" type=""text"" id=""t100"" onchange=""myFunction('finest', 't100', 'p100')"">","They poured wine for him, served him the <input class=""form-control"" type=""text"" id=""t100"" onchange=""myFunction('finest', 't100', 'p100')""> things to eat, and thought that they had never seen a more handsome man in all the world."
black,Выберите слово,black,"['black', 'blue', 'white']","The bride-to-be, however, sat across from him in her black dress without raising her eyes or speaking a word.",select_word,"<select class=""form-select"" id=""s101"" onchange=""myFunction('black', 's101', 'p101')""><option selected>–––</option><option value=""black"">black</option><option value=""blue"">blue</option><option value=""white"">white</option></select>","The bride-to-be, however, sat across from him in her <select class=""form-select"" id=""s101"" onchange=""myFunction('black', 's101', 'p101')""><option selected>–––</option><option value=""black"">black</option><option value=""blue"">blue</option><option value=""white"">white</option></select> dress without raising her eyes or speaking a word."
 , , , ,"Finally he asked the father if he would give him one of his daughters for a wife, whereupon the two oldest ones jumped up and ran into their bedrooms to put on splendid dresses, for each of them thought that she was the chosen one.", , ,"Finally he asked the father if he would give him one of his daughters for a wife, whereupon the two oldest ones jumped up and ran into their bedrooms to put on splendid dresses, for each of them thought that she was the chosen one."
dropped,Заполните пропуск,dropped,[],"As soon as he was alone with his bride-to-be, the stranger brought out his half of the ring and dropped it into a glass of wine, which he handed across the table to her.",missing_word,"<input class=""form-control"" type=""text"" id=""t103"" onchange=""myFunction('dropped', 't103', 'p103')"">","As soon as he was alone with his bride-to-be, the stranger brought out his half of the ring and <input class=""form-control"" type=""text"" id=""t103"" onchange=""myFunction('dropped', 't103', 'p103')""> it into a glass of wine, which he handed across the table to her."
"She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.",Какое предложение верно?,"She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.","['She followed the grape, but when she had drunken it and from the cut rings lie at the losses, her suffering beginning to beaten.', 'She came the champagne, but when she had drugged it and been the five rings lies at the table, her cancer early to beating.', 'She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.']","She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-0"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-0"", ""p104"")'
                                     value=""She followed the grape, but when she had drunken it and from the cut rings lie at the losses, her suffering beginning to beaten."">
                                   <label class=""form-check-label"" for=""r104-0"">She followed the grape, but when she had drunken it and from the cut rings lie at the losses, her suffering beginning to beaten.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-1"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-1"", ""p104"")'
                                     value=""She came the champagne, but when she had drugged it and been the five rings lies at the table, her cancer early to beating."">
                                   <label class=""form-check-label"" for=""r104-1"">She came the champagne, but when she had drugged it and been the five rings lies at the table, her cancer early to beating.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-2"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-2"", ""p104"")'
                                     value=""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."">
                                   <label class=""form-check-label"" for=""r104-2"">She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-0"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-0"", ""p104"")'
                                     value=""She followed the grape, but when she had drunken it and from the cut rings lie at the losses, her suffering beginning to beaten."">
                                   <label class=""form-check-label"" for=""r104-0"">She followed the grape, but when she had drunken it and from the cut rings lie at the losses, her suffering beginning to beaten.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-1"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-1"", ""p104"")'
                                     value=""She came the champagne, but when she had drugged it and been the five rings lies at the table, her cancer early to beating."">
                                   <label class=""form-check-label"" for=""r104-1"">She came the champagne, but when she had drugged it and been the five rings lies at the table, her cancer early to beating.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r104-2"" name=""rname104"" 
                                     onchange='myFunction(""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."", ""r104-2"", ""p104"")'
                                     value=""She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat."">
                                   <label class=""form-check-label"" for=""r104-2"">She took the wine, but when she had drunk it and found the half ring lying at the bottom, her heart began to beat.
                                   </label></div>"
took,Выберите слово,took,"['came', 'took', 'taking']","She took the other half, which she wore on a ribbon around her neck, put them together, and saw that the two pieces matched perfectly.",select_word,"<select class=""form-select"" id=""s105"" onchange=""myFunction('took', 's105', 'p105')""><option selected>–––</option><option value=""came"">came</option><option value=""took"">took</option><option value=""taking"">taking</option></select>","She <select class=""form-select"" id=""s105"" onchange=""myFunction('took', 's105', 'p105')""><option selected>–––</option><option value=""came"">came</option><option value=""took"">took</option><option value=""taking"">taking</option></select> the other half, which she wore on a ribbon around her neck, put them together, and saw that the two pieces matched perfectly."
"Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.",Какое предложение верно?,"Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.","['When he says, ""I am your sister-in-law in-laws, whom you when as Bearskin.', 'When he added, ""I am your daughter-in-law bridesmaid, whom you seeing as Bearskin.', 'Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.']","Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-0"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-0"", ""p106"")'
                                     value=""When he says, &quot;I am your sister-in-law in-laws, whom you when as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-0"">When he says, ""I am your sister-in-law in-laws, whom you when as Bearskin.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-1"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-1"", ""p106"")'
                                     value=""When he added, &quot;I am your daughter-in-law bridesmaid, whom you seeing as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-1"">When he added, ""I am your daughter-in-law bridesmaid, whom you seeing as Bearskin.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-2"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-2"", ""p106"")'
                                     value=""Then he said, &quot;I am your betrothed bridegroom, whom you saw as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-2"">Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-0"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-0"", ""p106"")'
                                     value=""When he says, &quot;I am your sister-in-law in-laws, whom you when as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-0"">When he says, ""I am your sister-in-law in-laws, whom you when as Bearskin.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-1"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-1"", ""p106"")'
                                     value=""When he added, &quot;I am your daughter-in-law bridesmaid, whom you seeing as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-1"">When he added, ""I am your daughter-in-law bridesmaid, whom you seeing as Bearskin.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r106-2"" name=""rname106"" 
                                     onchange='myFunction(""Then he said, \&quot;I am your betrothed bridegroom, whom you saw as Bearskin."", ""r106-2"", ""p106"")'
                                     value=""Then he said, &quot;I am your betrothed bridegroom, whom you saw as Bearskin."">
                                   <label class=""form-check-label"" for=""r106-2"">Then he said, ""I am your betrothed bridegroom, whom you saw as Bearskin.
                                   </label></div>"
clean,Выберите слово,clean,"['enough', 'water', 'clean']","Through God's grace I have regained my human form and have become clean again.""",select_word,"<select class=""form-select"" id=""s107"" onchange=""myFunction('clean', 's107', 'p107')""><option selected>–––</option><option value=""enough"">enough</option><option value=""water"">water</option><option value=""clean"">clean</option></select>","Through God's grace I have regained my human form and have become <select class=""form-select"" id=""s107"" onchange=""myFunction('clean', 's107', 'p107')""><option selected>–––</option><option value=""enough"">enough</option><option value=""water"">water</option><option value=""clean"">clean</option></select> again."""
"He went to her, embraced her, and gave her a kiss.",Какое предложение верно?,"He went to her, embraced her, and gave her a kiss.","['He gone to her, applauded her, and give her a goodbye.', 'He went to her, embraced her, and gave her a kiss.', 'He forced to her, embracing her, and earlier her a kisses.']","He went to her, embraced her, and gave her a kiss.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-0"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-0"", ""p108"")'
                                     value=""He gone to her, applauded her, and give her a goodbye."">
                                   <label class=""form-check-label"" for=""r108-0"">He gone to her, applauded her, and give her a goodbye.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-1"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-1"", ""p108"")'
                                     value=""He went to her, embraced her, and gave her a kiss."">
                                   <label class=""form-check-label"" for=""r108-1"">He went to her, embraced her, and gave her a kiss.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-2"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-2"", ""p108"")'
                                     value=""He forced to her, embracing her, and earlier her a kisses."">
                                   <label class=""form-check-label"" for=""r108-2"">He forced to her, embracing her, and earlier her a kisses.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-0"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-0"", ""p108"")'
                                     value=""He gone to her, applauded her, and give her a goodbye."">
                                   <label class=""form-check-label"" for=""r108-0"">He gone to her, applauded her, and give her a goodbye.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-1"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-1"", ""p108"")'
                                     value=""He went to her, embraced her, and gave her a kiss."">
                                   <label class=""form-check-label"" for=""r108-1"">He went to her, embraced her, and gave her a kiss.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r108-2"" name=""rname108"" 
                                     onchange='myFunction(""He went to her, embraced her, and gave her a kiss."", ""r108-2"", ""p108"")'
                                     value=""He forced to her, embracing her, and earlier her a kisses."">
                                   <label class=""form-check-label"" for=""r108-2"">He forced to her, embracing her, and earlier her a kisses.
                                   </label></div>"
 , , , ,In the meantime the two sisters came back in full dress., , ,In the meantime the two sisters came back in full dress.
direct object,Чем является выделенная фраза?,the handsome man,"['object of preposition', 'direct object', 'attribute', 'conjunct', 'nominal subject']","When they saw that the youngest sister had received the handsome man, and heard that he was Bearskin, they ran out filled with anger and rage.",noun_phrases,"<strong>the handsome man</strong> <select class=""form-select"" id=""s110"" onchange=""myFunction('direct object', 's110', 'p110')""><option selected>–––</option><option value=""object of preposition"">object of preposition</option><option value=""direct object"">direct object</option><option value=""attribute"">attribute</option><option value=""conjunct"">conjunct</option><option value=""nominal subject"">nominal subject</option></select>","When they saw that the youngest sister had received <strong>the handsome man</strong> <select class=""form-select"" id=""s110"" onchange=""myFunction('direct object', 's110', 'p110')""><option selected>–––</option><option value=""object of preposition"">object of preposition</option><option value=""direct object"">direct object</option><option value=""attribute"">attribute</option><option value=""conjunct"">conjunct</option><option value=""nominal subject"">nominal subject</option></select>, and heard that he was Bearskin, they ran out filled with anger and rage."
drowned,Выберите слово,drowned,"['capsized', 'drowned', 'drown']",One of them drowned herself in the well.,select_word,"<select class=""form-select"" id=""s111"" onchange=""myFunction('drowned', 's111', 'p111')""><option selected>–––</option><option value=""capsized"">capsized</option><option value=""drowned"">drowned</option><option value=""drown"">drown</option></select>","One of them <select class=""form-select"" id=""s111"" onchange=""myFunction('drowned', 's111', 'p111')""><option selected>–––</option><option value=""capsized"">capsized</option><option value=""drowned"">drowned</option><option value=""drown"">drown</option></select> herself in the well."
tree,Заполните пропуск,tree,[],The other hanged herself on a tree.,missing_word,"<input class=""form-control"" type=""text"" id=""t112"" onchange=""myFunction('tree', 't112', 'p112')"">","The other hanged herself on a <input class=""form-control"" type=""text"" id=""t112"" onchange=""myFunction('tree', 't112', 'p112')"">."
said,Заполните пропуск,said,[],"That evening, someone knocked at the door, and when the bridegroom opened it, it was the devil in his green jacket, who said, ""You see, I now have two souls for the one of yours.""",missing_word,"<input class=""form-control"" type=""text"" id=""t113"" onchange=""myFunction('said', 't113', 'p113')"">","That evening, someone knocked at the door, and when the bridegroom opened it, it was the devil in his green jacket, who <input class=""form-control"" type=""text"" id=""t113"" onchange=""myFunction('said', 't113', 'p113')"">, ""You see, I now have two souls for the one of yours."""
"Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.",Какое предложение верно?,"Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.","['Caused: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinhandbuch- und Hausmärchen (Children\'s and Household Tales -- Grimms\' Fairy Tales), 4th compilation, vol. 2 (Göttingen: Verlag handbuch Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.', 'Sources: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinvan- und Hausmärchen (Children\'s and Household Tales -- Grimms\' Fairy Tales), 6th editions, vol. 2 (Göttingen: Verlag van Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.', 'Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children\'s and Household Tales -- Grimms\' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.']","Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.",select_sent,"<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-0"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-0"", ""p114"")'
                                     value=""Caused: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinhandbuch- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 4th compilation, vol. 2 (Göttingen: Verlag handbuch Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-0"">Caused: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinhandbuch- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 4th compilation, vol. 2 (Göttingen: Verlag handbuch Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-1"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-1"", ""p114"")'
                                     value=""Sources: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinvan- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 6th editions, vol. 2 (Göttingen: Verlag van Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-1"">Sources: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinvan- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 6th editions, vol. 2 (Göttingen: Verlag van Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-2"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-2"", ""p114"")'
                                     value=""Source: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinder- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-2"">Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div>","<div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-0"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-0"", ""p114"")'
                                     value=""Caused: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinhandbuch- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 4th compilation, vol. 2 (Göttingen: Verlag handbuch Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-0"">Caused: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinhandbuch- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 4th compilation, vol. 2 (Göttingen: Verlag handbuch Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-1"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-1"", ""p114"")'
                                     value=""Sources: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinvan- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 6th editions, vol. 2 (Göttingen: Verlag van Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-1"">Sources: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinvan- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 6th editions, vol. 2 (Göttingen: Verlag van Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div><div class=""form-check"">
                                   <input class=""form-check-input"" type=""radio"" id=""r114-2"" name=""rname114"" 
                                     onchange='myFunction(""Source: Jacob and Wilhelm Grimm, \&quot;Der Bärenhäuter,\&quot; Kinder- und Hausmärchen (Children\&apos;s and Household Tales -- Grimms\&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."", ""r114-2"", ""p114"")'
                                     value=""Source: Jacob and Wilhelm Grimm, &quot;Der Bärenhäuter,&quot; Kinder- und Hausmärchen (Children&apos;s and Household Tales -- Grimms&apos; Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86."">
                                   <label class=""form-check-label"" for=""r114-2"">Source: Jacob and Wilhelm Grimm, ""Der Bärenhäuter,"" Kinder- und Hausmärchen (Children's and Household Tales -- Grimms' Fairy Tales), 7th edition, vol. 2 (Göttingen: Verlag der Dieterichschen Buchhandlung, 1857), no. 101, pp. 81-86.
                                   </label></div>"
published,Выберите слово,published,"['publication', 'book', 'published']","The Grimms' source: The Haxthausen family and story by Hans Jakob Christoffel von Grimmelshausen (ca. 1622-1676) entitled ""Vom Ursprung des Namens Bärnhäuter,"" first published in 1670.",select_word,"<select class=""form-select"" id=""s115"" onchange=""myFunction('published', 's115', 'p115')""><option selected>–––</option><option value=""publication"">publication</option><option value=""book"">book</option><option value=""published"">published</option></select>","The Grimms' source: The Haxthausen family and story by Hans Jakob Christoffel von Grimmelshausen (ca. 1622-1676) entitled ""Vom Ursprung des Namens Bärnhäuter,"" first <select class=""form-select"" id=""s115"" onchange=""myFunction('published', 's115', 'p115')""><option selected>–––</option><option value=""publication"">publication</option><option value=""book"">book</option><option value=""published"">published</option></select> in 1670."
